date,type,userId,key,brandId
2011-01-12T20:19:57,brand,380812,130001,5918591
2011-01-18T03:10:03,brand,126982,130002,537154
2011-01-12T16:24:24,brand,3198103,131001,1809125
2011-01-19T13:30:42,brand,380812,131002,6109362
2011-01-19T20:18:47,brand,380812,131003,4734053
2011-01-12T21:52:13,brand,233446,132001,5365087
2011-01-19T20:24:17,brand,380812,132002,5939175
2011-01-12T21:52:13,brand,233446,133001,4655569
2011-01-12T20:19:55,brand,380812,134001,5301485
2011-01-12T21:25:20,brand,380812,135001,5256826
2011-01-13T14:19:33,brand,380812,135002,5725696
2011-01-26T11:29:23,brand,380812,135003,6163947
2011-02-02T17:50:39,brand,380812,135004,6505862
2011-02-02T18:58:50,brand,4963627,135005,4960312
2011-02-04T00:15:41,brand,136704,135007,663789
2011-02-07T14:53:37,brand,2921570,135008,6479977
2011-02-07T17:46:58,brand,2747920,135009,5237543
2011-01-12T20:19:58,brand,380812,136001,2482360
2011-01-12T05:05:00,brand,380812,137001,5921945
2011-02-01T18:12:01,brand,380812,137002,2774894
2011-02-02T03:16:06,brand,136704,137003,6029869
2011-02-02T13:24:30,brand,136704,137004,6480599
2011-02-03T05:40:18,brand,136704,137005,4724342
2011-02-04T17:16:03,brand,214811,137006,2213903
2011-02-06T17:58:51,brand,1615770,137007,6162032
2011-02-07T17:46:50,brand,380812,137008,5237543
2011-01-13T15:49:32,brand,380812,138001,5655300
2011-01-18T01:57:21,brand,1317094,138002,2559092
2011-01-13T15:49:35,brand,380812,139001,5777289
2011-01-25T19:37:56,brand,710307,139002,627195
2011-01-13T15:49:37,brand,380812,140001,5938166
2011-01-13T17:40:31,brand,4625272,141001,5425964
2011-01-25T10:02:39,brand,380812,141002,3474465
2011-01-13T17:55:03,brand,380812,142001,1088586
2011-01-13T18:42:50,brand,380812,143001,5963970
2011-01-14T00:33:02,brand,380812,144001,74466
2011-01-14T01:15:30,brand,1275003,145001,1086156
2011-01-14T11:26:49,brand,380812,146001,5939206
2011-01-14T11:26:52,brand,380812,147001,5967696
2011-01-14T21:00:14,brand,341516,148001,6000391
2011-01-27T14:07:31,brand,3696660,148002,6225998
2011-01-14T21:21:48,brand,380812,149001,5943062
2011-01-26T11:36:09,brand,380812,149002,5893345
2011-01-27T02:26:46,brand,437648,149003,5981422
2011-01-15T00:53:07,brand,380812,150001,5966750
2011-01-15T00:53:10,brand,380812,151001,6001745
2011-01-15T04:34:37,brand,380812,152001,1034687
2011-01-15T04:35:38,brand,380812,153001,4744696
2011-01-16T18:41:06,brand,256867,154001,3038126
2011-01-17T01:21:31,brand,380812,155001,5980298
2011-01-17T01:21:36,brand,380812,156001,2631925
2011-01-17T01:21:36,brand,380812,157001,4697680
2011-01-25T20:27:45,brand,380812,157002,457713
2011-01-17T12:28:50,brand,710307,158001,1095287
2011-01-17T16:00:33,brand,380812,159001,6062888
2011-01-17T16:40:50,brand,301583,160001,3518132
2011-01-20T22:12:34,brand,229742,160002,5999118
2011-01-24T01:42:41,brand,380812,160003,3772162
2011-01-18T01:25:34,brand,380812,161001,6082867
2011-01-18T02:16:28,brand,380812,162001,6062529
2011-01-22T14:54:10,brand,2051642,162002,3635966
2011-01-18T02:28:31,brand,301583,163001,5370765
2011-01-20T17:59:26,brand,380812,163002,1853842
2011-01-18T10:17:02,brand,1336320,164001,5401668
2011-01-18T10:30:21,brand,838637,165001,3478988
2011-01-18T17:50:27,brand,380812,165002,6112819
2011-01-19T18:22:40,brand,1940051,165003,3065428
2011-01-20T15:01:53,brand,380812,165004,1385866
2011-01-18T13:59:47,brand,380812,166001,5830629
2011-01-21T16:21:38,brand,1372651,166002,5835157
2011-01-18T15:29:35,brand,2388284,167001,5157424
2011-01-19T13:30:42,brand,380812,168001,5949491
2011-01-19T20:18:49,brand,380812,169001,5921024
2011-01-29T12:59:23,brand,380812,169002,1071649
2011-01-20T01:18:00,brand,380812,170001,2195860
2011-01-28T23:12:40,brand,136704,170002,5964172
2011-01-20T15:19:31,brand,380812,171001,4952628
2011-01-26T06:11:03,brand,1894010,171002,4074936
2011-01-20T16:24:32,brand,380812,172001,5280074
2011-01-20T20:09:00,brand,5214789,173001,6000533
2011-01-21T14:11:56,brand,380812,173002,3666350
2011-01-21T09:46:28,brand,2959508,174001,4995109
2011-01-21T18:00:36,brand,380812,174002,6110206
2011-01-21T18:00:37,brand,380812,175001,5566977
2011-01-21T18:00:38,brand,380812,176001,6143518
2011-01-21T20:21:23,brand,380812,177001,2675405
2011-01-22T14:26:05,brand,380812,178001,6154093
2011-01-31T15:40:42,brand,380812,178002,1767944
2011-01-22T21:23:13,brand,380812,179001,5881841
2011-01-29T05:51:14,brand,233446,179002,4371661
2011-01-22T21:23:15,brand,380812,180001,5973104
2011-01-23T01:19:00,brand,256867,181001,3982708
2011-01-26T01:01:48,brand,380812,181002,6197452
2011-01-23T14:22:31,brand,380812,182001,3380651
2011-01-24T04:11:10,brand,4991945,183001,4257093
2011-01-24T11:22:42,brand,380812,184001,5997831
2011-01-29T05:51:16,brand,233446,184002,4697641
2011-01-24T20:24:03,brand,380812,185001,1400724
2011-01-25T03:09:48,brand,256867,185002,2404626
2011-01-24T21:19:28,brand,380812,186001,5955939
2011-01-24T23:48:21,brand,380812,187001,6281491
2011-01-25T00:55:30,brand,380812,188001,941803
2011-01-25T13:30:50,brand,380812,189001,2468206
2011-01-29T05:51:15,brand,233446,189002,1690773
2011-01-25T13:30:52,brand,380812,190001,6162029
2011-01-25T19:37:54,brand,710307,191001,5989146
2011-01-25T20:27:49,brand,380812,192001,4256768
2011-01-25T23:36:49,brand,380812,193001,6310299
2011-01-26T01:01:49,brand,380812,194001,6306611
2011-01-26T13:54:54,brand,380812,195001,4275786
2011-01-26T20:24:34,brand,380812,196001,4235765
2011-01-31T23:30:11,brand,345011,196002,6140659
2011-02-02T14:18:33,brand,380812,196003,6502045
2011-02-02T18:58:43,brand,4963627,196004,1414187
2011-02-03T06:37:01,brand,72483,196005,977886
2011-02-04T00:15:42,brand,136704,196006,6369050
2011-02-05T06:19:29,brand,3284223,196007,3699203
